name,lat,lon
โรงเรียนสตรีนครสวรรค์,15.69485942,100.1243111
เซ็นทรัลนครสวรรค์,15.702737013348342,100.1173239706598
บขส.นครสวรรค์,15.700799502874391, 100.119281497123
โรงพยาบาลสวรรค์ประชารักษ์,15.70687338621523, 100.13842310715619
ศาลากลางจังหวัดนครสวรรค์,15.690770313965485, 100.11381024273794
มหาวิทยาลัยราชภัฏนครสวรรค์,15.688367868515732, 100.10762061881381
เดอะวอล์ค นครสวรรค์,15.70167840280885,100.1224769899773
แฟรี่แลนด์ พลาซ่า นครสวรรค์,15.703261976746786, 100.13619813660391
วี-สแควร์ พลาซ่า นครสวรรค์,15.694143359344665, 100.12186095439468
สถานีรถไฟปากน้ำโพ,15.704321046694476, 100.15381157251431
สถานีรถไฟนครสวรรค์,15.664283421323251, 100.15797133136364
บึงบอระเพ็ด,15.712063604242482, 100.17566219979538
หอชมเมืองนครสวรรค์,15.718085230901629, 100.1235781304698
